"N°","Color","Equipo Autonomo","Prioridad","Fecha apertura","Descripción anomalia","Estado actual"
"6","Amarilla","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Tablero eléctrico en piso del tornillo de alimentación sin identificar. #G1-1","Cerrada"
"12","Amarilla","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Manga de descarga de silo mal fijada (sujeta con brida). #G1-2","Cerrada"
"14","Amarilla","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Baranda de seguridad no sujeta a la estructura. #G1-3","Cerrada"
"19","Amarilla","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Falta de baranda de seguridad en el primer piso de alimentación. #G1-4","Cerrada"
"26","Amarilla","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Falta de identificación de riesgo de temperatura. Camisa del tornillo. #G1-6","Cerrada"
"30","Amarilla","Alimentación y Extrusión","Media","2019-01-31T23:10:10.000Z","Falta aplique de goma. Posible pérdida de señal en máquina. #G1-7","Cerrada"
"35","Amarilla","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Escalones resbaladizos en Alimentador de Extrusión. #G1-8","Cerrada"
"37","Amarilla","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Puerta de primer nivel no tiene traba para cuando esté abierta o cerrada en 1° piso de Alimenta. Y Extrusión. #G1-9","Cerrada"
"44","Amarilla","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Falta mapa de riesgo de extrusión. #G1-10","Cerrada"
"46","Amarilla","Alimentación y Extrusión","Baja","2019-01-31T23:10:10.000Z","Escalera con baranda floja. Pasillo zona este planetario. #G1-11","Cerrada"
"87","Amarilla","Calandrado","Media","2019-01-31T23:10:10.000Z","Cables colgando, no están enrollados correctamente en debobinador, sist de laminación #G2-51","Cerrada"
"90","Amarilla","Calandrado","Media","2019-01-31T23:10:10.000Z","Baranda de contención floja en pasarela de calandra #G2-52","Cerrada"
"94","Amarilla","Calandrado","Media","2019-01-31T23:10:10.000Z","Riesgo de caída desde pasarela en calandra #G2-53","Cerrada"
"95","Amarilla","Calandrado","Media","2019-01-31T23:10:10.000Z","Riesgo de caída desde pasarela en calandra #G2-54","Cerrada"
"99","Amarilla","Calandrado","Media","2019-01-31T23:10:10.000Z","Cuerda de seguridad lado Bp - lado T flojas #G2-55","Cerrada"
"101","Amarilla","Calandrado","Media","2019-01-31T23:10:10.000Z","Escalera a laminador suelta en zonda de calandra #G2-56","Cerrada"
"107","Amarilla","Calandrado","Media","2019-01-31T23:10:10.000Z","Tornillo sinfín 3° par de rolo frio sin protección #G2-57","Cerrada"
"111","Amarilla","Calandrado","Media","2019-01-31T23:10:10.000Z","Guantes térmicos no son de calidad suficiente #G2-58","Cerrada"
"113","Amarilla","Calandrado","Media","2019-01-31T23:10:10.000Z","Forro de manguera de agua deteriorado #G2-59","Cerrada"
"117","Amarilla","Calandrado","Media","2019-01-31T23:10:10.000Z","Manguera amarilla de extracción de gases #G2-60","Cerrada"
"118","Amarilla","Calandrado","Media","2019-01-31T23:10:10.000Z","Manguera de aire comprimido sin pistola en fosa de calandra #G2-61","Cerrada"
"126","Amarilla","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Baranda anticaída de escalera diámetro chico en piso tornillo alimentación. Sugiere: modificar amplitud de la misma para evitar el contacto.  #G1-63","Cerrada"
"128","Amarilla","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Falta de pasamano en escalera de silo recuperado  #G1-64","Cerrada"
